,longest_length
0,18
1,14
2,18
3,19
4,15
5,14
6,21
7,14
8,17
9,20
10,20
11,20
12,14
13,21
0,16
1,18
2,18
3,23
4,17
5,23
6,19
7,27
8,20
9,23
10,16
11,18
12,20
13,18
14,14
15,25
16,22
17,21
18,23
0,20
1,16
2,16
3,18
4,20
5,18
6,16
7,16
8,25
9,20
10,22
11,14
12,16
13,15
14,21
15,21
16,22
17,21
18,25
19,19
20,22
21,15
22,23
23,21
0,16
1,19
2,19
3,16
4,19
5,19
6,24
7,17
8,13
9,15
10,19
11,21
12,15
13,17
14,15
15,17
16,17
17,14
18,19
19,22
20,18
21,14
22,15
23,17
24,15
25,20
26,16
0,20
1,18
2,17
3,20
4,19
5,18
6,15
7,15
8,26
9,14
10,17
11,15
12,17
13,14
14,17
15,14
16,18
17,18
18,20
0,20
1,34
2,19
3,20
4,19
5,19
6,13
7,21
8,12
9,21
10,22
11,26
12,22
13,17
14,14
15,23
16,21
17,16
18,16
19,24
20,15
21,19
22,22
23,22
24,22
25,24
26,23
27,25
0,15
1,19
2,16
3,25
4,20
5,17
6,14
7,15
8,20
9,16
10,15
11,17
12,19
0,19
1,23
2,23
3,13
4,23
5,23
6,21
7,23
8,23
9,24
10,19
11,22
12,27
13,14
14,25
15,24
0,36
1,17
2,23
3,13
4,18
5,20
6,18
7,23
8,13
9,21
10,18
11,13
12,12
13,12
14,19
15,18
16,25
17,23
18,20
19,20
0,19
1,18
2,19
3,23
4,17
5,22
0,20
1,19
2,20
3,17
4,20
5,34
6,20
7,19
8,18
9,18
10,20
11,20
12,19
13,21
14,15
15,25
0,16
1,33
2,17
3,15
4,22
5,14
6,16
0,16
1,15
2,15
3,15
4,16
5,15
6,16
7,15
8,17
9,23
10,19
11,16
12,20
13,15
14,21
15,16
16,19
0,17
1,23
2,37
3,19
4,20
5,22
6,20
7,24
8,15
0,18
1,18
2,16
3,16
4,38
5,16
6,17
7,13
8,14
9,25
10,17
11,17
12,17
13,17
14,15
15,18
16,23
17,18
18,21
19,17
20,22
21,15
0,35
1,24
2,22
3,21
4,22
5,21
6,22
7,22
8,19
0,17
1,20
2,18
3,16
4,18
5,16
6,18
7,15
8,15
9,16
10,17
11,14
12,18
13,19
14,19
15,14
16,15
17,19
18,15
19,17
20,16
21,19
22,19
0,16
1,19
2,16
3,16
4,21
5,20
6,22
7,16
8,15
9,18
10,19
11,17
12,21
13,16
14,12
15,16
16,21
0,20
1,20
2,24
3,25
0,17
1,19
2,15
3,18
4,19
5,15
6,14
7,19
8,15
9,20
10,19
11,16
12,23
13,21
14,20
15,21
16,12
17,15
18,14
19,24
20,18
21,22
0,17
1,17
2,16
3,15
4,15
5,17
6,20
7,23
8,15
9,18
10,21
11,21
0,20
1,19
2,18
3,20
4,25
5,12
6,18
7,17
8,20
9,20
10,24
11,23
12,23
13,23
14,17
15,33
0,16
1,15
2,16
3,16
4,20
5,15
6,16
7,16
8,19
9,14
10,18
11,21
12,15
13,25
14,13
15,18
16,14
17,20
18,16
19,23
20,20
21,22
22,18
0,18
1,16
2,20
3,17
4,19
5,21
6,17
7,24
8,21
9,22
10,23
11,22
12,20
13,22
14,22
15,19
16,23
17,20
18,22
19,18
0,36
1,34
2,36
3,18
4,18
5,20
6,19
7,17
8,19
9,21
10,20
11,20
12,14
13,18
14,21
15,21
16,24
0,18
1,18
2,19
3,24
4,24
5,21
6,37
7,19
8,16
9,22
10,25
11,17
0,32
1,17
2,21
3,24
4,24
5,19
6,22
7,23
8,22
0,17
1,18
2,16
3,17
4,18
5,16
6,15
7,16
8,18
9,16
10,18
11,14
12,32
13,18
14,20
15,15
16,23
17,15
18,15
19,19
20,19
21,15
22,18
23,19
24,19
25,14
0,16
1,25
2,19
3,24
4,23
5,18
6,16
0,19
1,20
2,22
3,21
4,23
0,14
1,24
2,39
3,36
4,24
5,21
6,19
0,23
1,17
2,16
3,19
4,21
5,25
6,23
7,22
8,22
0,20
1,18
2,16
3,19
4,19
5,15
6,18
7,18
8,14
9,17
10,16
11,15
12,14
13,16
14,19
15,14
16,15
17,17
18,14
19,19
0,20
1,22
2,17
3,33
4,17
5,20
6,25
7,23
8,23
9,22
10,20
11,21
12,23
13,20
14,25
15,24
16,25
0,17
1,18
2,17
3,31
4,23
5,24
6,24
0,16
1,18
2,16
3,17
4,15
5,16
6,15
7,16
8,21
9,23
10,21
11,20
12,14
13,22
14,18
0,17
1,16
2,16
3,15
4,20
5,21
6,14
7,18
8,15
9,18
10,18
11,19
12,15
0,17
1,20
2,19
3,19
4,23
5,18
6,20
0,14
1,14
2,20
3,17
4,18
5,20
6,22
7,24
8,24
9,23
10,18
11,25
12,20
13,16
0,36
1,35
2,19
3,17
4,18
5,25
6,15
7,16
8,17
9,23
10,22
11,24
12,16
13,24
14,22
15,20
16,25
0,36
1,38
2,35
3,32
4,37
5,18
6,23
7,22
8,23
9,23
10,21
11,24
12,20
13,17
14,22
15,24
0,34
1,24
2,23
3,20
4,20
0,17
1,24
2,19
0,17
1,16
2,34
3,18
4,18
5,18
6,17
7,16
8,18
9,17
10,18
11,19
12,17
13,24
14,18
15,17
16,22
17,20
18,21
19,22
20,22
21,24
22,20
23,20
24,20
25,17
26,18
27,20
28,20
29,15
30,23
31,19
32,17
33,16
34,23
35,15
36,20
37,21
38,21
39,19
40,19
41,19
42,19
43,17
44,22
45,20
46,17
47,15
48,23
49,15
50,18
51,20
52,22
53,18
54,24
55,20
56,22
57,18
58,21
59,19
60,19
61,23
62,22
63,22
64,22
65,21
66,19
67,16
68,21
69,22
70,19
71,21
72,23
73,18
74,20
75,21
76,17
77,22
78,19
79,24
80,22
81,24
82,23
83,23
84,13
85,24
86,19
87,18
0,17
1,17
2,17
3,17
4,20
5,20
6,14
7,21
8,14
9,17
10,15
11,20
12,25
13,18
14,16
15,18
16,19
17,24
18,16
19,19
20,18
21,17
22,21
23,21
24,21
25,17
26,19
0,16
1,17
2,17
3,18
4,15
5,15
6,20
7,17
8,18
9,14
10,19
11,19
12,14
13,17
14,14
15,14
16,17
17,15
18,15
19,17
20,14
21,18
22,14
23,18
0,16
1,16
2,17
3,15
4,18
5,18
6,19
7,14
8,15
9,18
10,17
11,14
12,26
13,14
14,18
15,20
16,18
17,17
18,22
0,16
1,21
2,23
3,20
4,14
5,19
6,22
7,22
8,25
9,27
10,18
11,20
12,22
13,18
14,24
15,25
16,23
17,19
18,24
19,19
20,24
0,33
1,36
2,35
3,20
4,15
5,18
6,19
7,22
8,19
9,19
10,21
11,35
12,23
13,16
14,19
15,21
16,17
17,22
0,34
1,36
2,33
3,22
4,16
5,13
6,23
7,21
8,17
9,21
10,25
11,37
12,24
13,19
14,26
15,22
16,23
17,21
18,23
19,19
20,20
0,20
1,20
2,21
3,17
4,21
0,19
1,16
2,15
3,16
4,15
5,19
6,21
7,22
8,17
9,18
10,23
11,26
12,21
13,18
14,17
15,21
16,22
17,19
18,22
19,20
20,22
21,32
0,18
1,18
2,17
3,18
4,16
5,19
6,19
7,22
8,15
9,17
10,22
11,17
12,15
13,18
14,20
15,14
16,23
17,23
0,19
1,15
2,17
3,19
4,17
5,17
6,14
7,21
8,20
9,22
10,21
11,14
12,22
13,22
14,20
15,19
0,35
1,15
2,19
3,19
4,17
