,longest_length
0,12
1,15
2,13
3,17
4,14
5,12
6,11
7,14
8,18
9,11
10,15
11,11
12,15
13,14
14,11
15,11
16,16
17,9
18,16
19,16
20,11
21,12
22,16
23,14
24,18
25,16
26,13
27,11
28,11
29,11
30,12
31,10
32,17
33,15
34,12
35,15
36,16
37,15
38,10
39,17
40,16
41,10
42,14
43,10
44,13
45,13
46,12
47,12
48,12
49,17
50,13
51,10
52,13
53,15
54,12
55,13
56,17
57,9
58,14
59,17
60,14
61,16
62,14
63,15
64,18
65,17
66,13
67,14
68,14
69,16
70,10
71,12
72,13
73,14
74,10
75,15
76,14
77,13
78,10
79,12
80,13
81,12
82,13
83,15
84,15
85,12
86,12
87,12
88,15
89,11
90,11
91,16
92,10
93,13
94,14
95,15
96,13
97,11
98,15
99,7
100,12
101,14
102,14
103,17
104,13
105,15
106,13
107,11
108,17
109,12
110,11
111,10
112,10
113,11
114,15
115,11
116,10
117,16
118,12
119,13
120,14
121,16
122,15
123,15
124,17
125,10
126,17
127,12
128,12
129,14
130,15
131,14
132,10
133,10
134,11
135,13
136,15
137,11
138,14
139,11
140,10
141,12
142,14
143,14
144,14
145,12
146,13
147,12
148,13
149,15
150,13
151,11
152,12
153,18
154,12
155,14
156,10
157,14
158,13
159,13
160,15
161,10
162,15
163,10
164,12
165,10
166,11
167,10
168,10
169,12
170,13
171,10
172,11
173,9
174,13
175,12
176,13
177,11
178,17
179,12
180,14
181,10
182,9
183,13
184,9
185,9
186,13
187,15
188,15
189,12
190,14
191,14
192,12
193,11
194,14
195,18
196,11
197,14
198,16
199,18
200,12
201,9
202,13
203,25
204,13
205,28
206,31
207,18
208,25
209,25
210,18
211,10
212,13
213,17
214,10
215,17
216,9
217,15
218,14
219,13
220,11
221,12
222,11
223,12
224,16
225,13
226,15
227,14
228,12
229,17
230,11
231,6
232,6
233,8
234,11
235,13
236,15
237,12
238,15
239,11
240,12
241,17
242,13
243,8
244,12
245,10
246,13
247,11
248,11
249,16
250,9
251,11
252,12
253,11
254,12
255,9
256,12
257,14
258,13
259,14
260,8
261,14
262,12
263,11
264,13
265,13
266,11
267,14
268,12
269,13
270,14
271,8
272,14
273,14
274,12
275,18
276,14
277,13
278,14
279,15
280,14
281,11
282,15
283,13
284,13
285,15
286,7
287,15
288,15
289,7
290,18
291,13
292,11
293,9
294,20
295,14
296,13
297,15
298,10
299,14
300,14
301,11
302,13
303,14
304,19
305,10
306,19
307,13
308,12
309,15
310,10
311,11
312,11
313,10
314,13
315,10
316,14
317,10
318,11
319,15
320,14
321,10
322,15
323,11
324,14
325,12
326,13
327,10
328,12
329,13
330,10
331,14
332,14
333,16
334,12
335,8
336,13
337,12
338,11
339,12
340,14
341,13
342,13
343,12
344,8
345,16
346,12
347,12
348,12
349,15
350,15
351,15
352,10
353,18
354,11
355,13
356,15
357,14
358,10
359,5
360,11
361,13
362,12
363,14
364,12
365,15
366,15
367,10
368,14
369,13
370,11
371,21
372,18
373,14
374,15
375,11
376,13
377,16
378,15
379,15
380,8
381,11
382,13
383,12
384,15
385,15
386,15
387,10
388,18
389,11
390,13
391,15
392,12
393,13
394,14
395,10
396,14
397,18
398,16
399,12
400,10
401,5
402,11
403,9
404,13
405,12
406,11
407,13
408,12
409,23
410,21
411,20
412,19
413,23
414,21
415,12
416,21
417,16
418,16
419,16
420,21
421,19
422,12
423,23
424,21
425,20
426,21
427,24
428,27
429,17
430,22
431,18
432,12
433,20
434,17
435,23
436,15
437,18
438,22
439,25
440,23
441,16
442,15
443,22
444,25
445,15
446,19
447,27
448,22
449,22
450,9
451,18
452,19
453,15
454,17
455,22
456,18
457,24
458,24
459,23
460,17
461,10
462,12
463,27
464,17
465,22
466,18
467,12
468,20
469,17
470,23
471,18
472,22
473,22
474,15
475,18
476,22
477,18
478,13
479,27
480,17
481,16
482,25
483,23
484,16
485,15
486,22
487,25
488,15
489,19
490,27
491,22
492,22
493,9
494,10
495,20
496,21
497,14
498,22
499,19
500,17
501,13
502,16
503,16
504,13
505,20
506,13
507,22
508,19
509,18
510,16
511,13
512,13
513,16
514,17
515,16
516,13
517,19
518,16
519,16
520,12
521,18
522,14
523,17
524,16
525,17
526,13
527,14
528,17
529,19
530,22
531,23
532,16
533,15
534,17
535,20
536,21
537,13
538,20
539,20
540,12
541,19
542,23
543,12
544,11
545,20
546,17
547,14
548,14
549,14
550,15
551,15
552,14
553,24
554,14
555,19
556,16
557,14
558,21
559,20
560,14
561,14
562,13
563,12
564,16
565,17
566,24
567,16
568,15
569,12
570,15
571,18
572,18
573,21
574,16
575,18
576,16
577,14
578,17
579,16
580,15
581,18
582,18
583,16
584,14
585,21
586,15
587,16
588,16
589,17
590,12
591,14
592,21
593,19
594,12
595,20
596,21
597,13
598,20
599,20
600,11
601,14
602,18
603,15
604,13
605,16
606,16
607,14
608,22
609,14
610,10
611,18
612,18
613,17
614,24
615,15
616,10
617,14
618,14
619,16
620,16
621,15
622,12
623,17
624,16
625,20
626,15
627,14
628,15
629,17
630,19
631,14
632,19
633,14
634,13
635,16
636,21
637,14
638,14
639,15
640,10
641,19
642,13
643,22
644,18
645,21
646,18
647,18
648,13
649,16
650,20
651,23
652,14
653,13
654,15
655,19
656,21
657,16
658,14
659,10
660,15
661,16
662,14
663,15
664,17
665,8
666,17
667,15
668,18
669,12
670,17
671,14
672,16
673,18
674,21
675,15
676,20
677,17
678,12
679,17
680,11
681,22
682,18
683,24
684,19
685,16
686,18
687,12
688,19
689,14
690,15
691,19
692,20
693,17
694,14
695,12
696,19
697,12
698,15
699,7
700,16
701,12
702,16
703,18
704,17
705,15
706,19
707,13
708,18
709,18
710,17
711,17
712,12
713,11
714,15
715,22
716,12
717,17
718,15
719,14
720,19
721,17
722,18
723,17
724,19
725,22
726,9
727,13
728,16
729,25
730,22
731,20
732,16
733,14
734,19
735,20
736,24
737,16
738,17
739,21
740,18
741,18
742,22
743,16
744,22
745,14
746,20
747,6
748,12
749,17
750,17
751,18
752,23
753,14
754,16
755,20
756,17
757,13
758,14
759,16
760,13
761,20
762,19
763,17
764,21
765,12
766,20
767,17
768,19
769,22
770,9
771,13
772,16
773,26
774,19
775,20
776,17
777,22
778,24
779,16
780,17
781,21
782,18
783,22
784,19
785,17
786,21
787,15
788,21
789,21
790,12
791,21
792,13
793,19
794,19
795,19
796,18
797,19
798,20
799,17
800,16
801,24
802,24
803,19
804,14
805,18
806,20
807,20
808,22
809,13
810,22
811,19
812,18
813,21
814,26
815,17
816,23
817,21
818,17
819,14
820,21
821,18
822,13
823,22
824,21
825,16
826,20
827,20
828,22
829,13
830,16
831,17
832,19
833,20
834,22
835,19
836,13
837,22
838,21
839,16
840,19
841,23
842,22
843,19
844,20
845,16
846,19
847,14
848,11
849,13
850,17
851,20
852,19
853,15
854,12
855,14
856,14
857,18
858,20
859,13
860,14
861,13
862,18
863,11
864,18
865,21
866,14
867,17
868,16
869,19
870,21
871,15
872,20
873,12
874,20
875,20
876,18
877,20
878,14
879,16
880,14
881,12
882,16
883,13
884,17
885,17
886,15
887,21
888,20
889,11
890,14
891,18
892,20
893,20
894,11
895,18
896,12
897,12
898,17
899,14
900,11
901,16
902,9
903,14
904,18
905,14
906,20
907,13
908,15
909,14
910,12
911,13
912,14
913,16
914,17
915,18
916,12
917,19
918,13
919,18
920,19
921,16
922,16
923,15
924,18
925,14
926,18
927,20
928,19
929,22
930,19
931,15
932,13
933,16
934,12
935,14
936,17
937,12
938,13
939,19
940,16
941,11
942,17
943,15
944,17
945,13
946,15
947,22
948,15
949,14
950,13
951,16
952,17
953,12
954,13
955,19
956,17
957,13
958,15
959,22
960,14
961,13
962,18
963,15
964,13
965,7
966,15
967,13
968,12
969,11
970,14
971,12
972,13
973,18
974,15
975,5
976,14
977,11
978,16
979,12
980,5
981,11
982,12
983,12
984,12
985,10
986,14
987,13
988,12
989,17
990,15
991,14
992,15
993,12
994,14
995,10
996,15
997,14
998,12
999,10
1000,13
1001,14
1002,10
1003,12
1004,13
1005,12
1006,15
1007,14
1008,12
1009,14
1010,13
1011,13
1012,12
1013,12
1014,13
1015,12
1016,16
1017,16
1018,6
1019,17
1020,13
1021,11
1022,14
1023,18
1024,10
1025,18
1026,6
1027,9
1028,12
1029,14
1030,14
1031,16
1032,13
1033,18
1034,14
1035,14
1036,14
1037,14
1038,11
1039,9
1040,10
1041,12
1042,14
1043,12
1044,12
1045,16
1046,15
1047,12
1048,14
1049,15
1050,9
1051,15
1052,18
1053,10
1054,12
1055,14
1056,12
1057,15
1058,12
1059,13
1060,13
1061,15
1062,16
1063,15
1064,13
1065,17
1066,16
1067,14
1068,15
1069,14
1070,14
1071,14
1072,17
1073,18
1074,16
1075,9
1076,14
1077,16
1078,13
1079,6
1080,11
1081,13
1082,11
1083,9
1084,16
1085,5
1086,11
1087,11
1088,12
1089,18
1090,16
1091,14
1092,10
1093,9
1094,10
1095,11
1096,12
1097,14
1098,17
1099,10
1100,11
1101,13
1102,12
1103,16
1104,13
1105,16
1106,9
1107,14
1108,17
1109,14
1110,11
1111,14
1112,10
1113,12
1114,12
1115,15
1116,12
1117,10
1118,13
1119,18
1120,13
1121,9
1122,12
1123,17
1124,14
1125,11
1126,14
1127,10
1128,17
1129,12
1130,12
1131,15
1132,11
1133,14
1134,10
1135,11
1136,14
1137,15
1138,12
1139,10
1140,13
1141,18
1142,14
1143,10
1144,10
1145,11
1146,14
1147,10
1148,9
1149,15
1150,13
1151,15
1152,9
1153,15
1154,14
1155,12
1156,11
1157,15
1158,13
1159,12
1160,12
1161,5
1162,10
1163,5
1164,11
1165,14
1166,12
1167,12
1168,8
1169,16
1170,12
1171,14
1172,10
1173,16
1174,5
1175,20
1176,13
1177,11
1178,11
1179,16
1180,9
1181,13
1182,12
1183,10
1184,8
1185,13
1186,20
1187,17
1188,10
1189,11
1190,11
1191,12
1192,5
1193,11
1194,14
1195,12
1196,14
1197,12
1198,13
1199,8
1200,18
1201,13
1202,5
1203,11
1204,11
1205,9
1206,17
1207,11
1208,21
1209,12
1210,12
1211,13
1212,21
1213,10
1214,16
1215,5
1216,20
1217,13
1218,11
1219,11
1220,16
1221,11
1222,12
1223,23
1224,11
1225,11
1226,14
1227,9
1228,13
1229,12
1230,10
1231,8
1232,13
1233,20
1234,17
1235,10
1236,10
1237,13
1238,16
1239,12
1240,12
1241,18
1242,15
1243,10
1244,14
1245,13
1246,13
1247,13
1248,7
1249,16
1250,17
1251,12
1252,12
1253,10
1254,12
1255,10
1256,12
1257,14
1258,10
1259,7
1260,12
1261,8
1262,8
1263,12
1264,10
1265,13
1266,10
1267,14
1268,14
1269,16
1270,13
1271,15
1272,10
1273,16
1274,12
1275,12
1276,13
1277,12
1278,10
1279,15
1280,12
1281,13
1282,10
1283,12
1284,10
1285,11
1286,10
1287,16
1288,14
1289,11
1290,11
1291,10
1292,7
1293,14
1294,14
1295,13
1296,13
1297,12
1298,10
1299,10
1300,12
1301,13
1302,14
1303,16
1304,12
1305,11
1306,9
1307,11
1308,10
1309,14
1310,18
1311,16
1312,12
1313,11
1314,12
1315,12
1316,9
1317,13
1318,11
1319,12
1320,12
1321,12
1322,12
1323,12
1324,13
1325,15
1326,10
1327,10
1328,14
1329,11
1330,16
1331,12
1332,13
1333,16
1334,18
1335,12
1336,12
1337,12
1338,14
1339,12
1340,15
1341,14
1342,13
1343,15
1344,11
1345,19
1346,20
1347,12
1348,15
1349,14
1350,11
1351,12
1352,15
1353,12
1354,19
1355,16
1356,11
1357,16
1358,12
1359,13
1360,17
1361,11
1362,14
1363,9
1364,14
1365,12
1366,19
1367,16
1368,11
1369,14
1370,19
1371,8
1372,13
1373,11
1374,20
1375,12
1376,17
1377,13
1378,14
1379,13
1380,20
1381,17
1382,13
1383,12
1384,14
1385,15
1386,18
1387,18
1388,10
1389,12
1390,13
1391,15
1392,15
1393,15
1394,15
1395,12
1396,12
1397,14
1398,13
1399,12
1400,12
1401,12
1402,11
1403,19
1404,18
1405,15
1406,14
1407,13
1408,16
1409,14
1410,16
1411,13
1412,19
1413,10
1414,13
1415,12
1416,12
1417,18
1418,13
1419,17
1420,13
1421,9
1422,13
1423,13
1424,13
1425,12
1426,20
1427,17
1428,12
1429,10
1430,13
1431,13
1432,13
1433,16
1434,11
1435,13
1436,12
1437,12
1438,12
1439,12
1440,13
1441,11
1442,14
1443,15
1444,19
1445,14
1446,16
1447,13
1448,14
1449,13
1450,12
1451,9
1452,15
1453,13
1454,15
1455,16
1456,19
1457,15
1458,12
1459,17
1460,14
1461,21
1462,12
1463,12
1464,7
1465,11
1466,7
1467,6
1468,21
1469,16
1470,13
1471,6
1472,16
1473,14
1474,9
1475,15
1476,13
1477,15
1478,12
1479,13
1480,12
1481,14
1482,12
1483,7
1484,13
1485,11
1486,7
1487,21
1488,14
1489,13
1490,13
1491,6
1492,16
1493,13
1494,10
1495,19
1496,9
1497,14
1498,19
1499,12
1500,12
1501,12
1502,13
1503,13
1504,12
1505,13
1506,15
1507,17
1508,10
1509,16
1510,12
1511,13
1512,10
1513,19
1514,14
1515,13
1516,17
1517,6
1518,17
1519,17
1520,11
1521,6
1522,11
1523,15
1524,16
1525,11
1526,4
1527,16
1528,8
1529,12
1530,12
1531,13
1532,10
1533,12
1534,16
1535,18
1536,14
1537,12
1538,11
1539,10
1540,14
1541,11
1542,5
1543,13
1544,10
1545,12
1546,9
1547,22
1548,16
1549,9
1550,19
1551,14
1552,8
1553,14
1554,10
1555,12
1556,21
1557,15
1558,15
1559,13
1560,15
1561,12
1562,14
1563,22
1564,15
1565,14
1566,14
1567,19
1568,16
1569,8
1570,12
1571,12
1572,11
1573,18
1574,11
1575,17
1576,16
1577,17
1578,13
1579,12
1580,14
1581,11
1582,13
1583,12
1584,10
1585,16
1586,19
1587,13
1588,13
1589,21
1590,16
1591,12
1592,16
1593,17
1594,11
1595,12
1596,13
1597,5
1598,20
1599,15
1600,10
1601,15
1602,17
1603,14
1604,9
1605,13
1606,15
1607,9
1608,13
1609,15
1610,14
1611,12
1612,11
1613,14
1614,14
1615,17
1616,16
1617,19
1618,13
1619,13
1620,8
1621,10
1622,18
1623,13
1624,6
1625,14
1626,18
1627,11
1628,10
1629,18
1630,12
1631,14
1632,14
1633,17
1634,16
1635,19
1636,10
1637,13
1638,6
1639,17
1640,11
1641,14
1642,17
1643,28
1644,13
1645,14
1646,12
1647,15
1648,20
1649,11
1650,12
1651,23
1652,7
1653,12
1654,18
1655,18
1656,17
1657,10
1658,15
1659,14
1660,17
1661,12
1662,11
1663,17
1664,20
1665,15
1666,15
1667,17
1668,17
1669,24
1670,17
1671,14
1672,12
1673,14
1674,11
1675,16
1676,12
1677,11
1678,15
1679,12
1680,23
1681,21
1682,20
1683,18
1684,13
1685,10
